id,detector_id,starttime,volume,speed,occupancy,countreadings,vmt,vht,delay,traveltime,resolution
14312267540,100367,2022-01-03 00:00:00-08,54,46.67,0.41,180,41.85,0.9,0.22,1,01:00:00
14312268759,100367,2022-01-03 01:00:00-08,44,48.11,0.5,172,34.1,0.71,0.19,0.97,01:00:00
14312269978,100367,2022-01-03 02:00:00-08,30,51.9,0.18,178,23.25,0.45,0.12,0.9,01:00:00
14312271197,100367,2022-01-03 03:00:00-08,42,47.52,0.5,180,32.55,0.68,0.2,0.98,01:00:00
14312272416,100367,2022-01-03 04:00:00-08,58,49.69,0.49,180,44.95,0.9,0.16,0.94,01:00:00
14312273610,100367,2022-01-03 05:00:00-08,94,48.86,1.04,180,72.85,1.49,0.18,0.95,01:00:00
14312274804,100367,2022-01-03 06:00:00-08,163,49.58,1.47,180,126.33,2.55,0.16,0.94,01:00:00
14312276023,100367,2022-01-03 07:00:00-08,190,50.06,1.44,180,147.25,2.94,0.15,0.93,01:00:00
14312277242,100367,2022-01-03 08:00:00-08,345,50.16,3.2,180,267.38,5.33,0.15,0.93,01:00:00
14312278459,100367,2022-01-03 09:00:00-08,324,50.49,2.66,180,251.1,4.97,0.15,0.92,01:00:00
14312279676,100367,2022-01-03 10:00:00-08,384,50.49,3.36,180,297.6,5.89,0.15,0.92,01:00:00
14312280882,100367,2022-01-03 11:00:00-08,413,50.52,3.66,180,320.08,6.34,0.15,0.92,01:00:00
14312282088,100367,2022-01-03 12:00:00-08,458,50.5,3.87,180,354.95,7.03,0.15,0.92,01:00:00
14312283294,100367,2022-01-03 13:00:00-08,466,50.05,4.09,180,361.15,7.22,0.15,0.93,01:00:00
14312284503,100367,2022-01-03 14:00:00-08,489,50.86,3.76,180,378.98,7.45,0.14,0.91,01:00:00
14312285712,100367,2022-01-03 15:00:00-08,501,50.46,3.8,180,388.28,7.69,0.15,0.92,01:00:00
14312286921,100367,2022-01-03 16:00:00-08,435,48.96,3.32,180,337.13,6.89,0.17,0.95,01:00:00
14312288130,100367,2022-01-03 17:00:00-08,404,48.84,2.85,180,313.1,6.41,0.18,0.95,01:00:00
14312289337,100367,2022-01-03 18:00:00-08,291,49.89,2.07,180,225.53,4.52,0.16,0.93,01:00:00
14312290544,100367,2022-01-03 19:00:00-08,227,49.96,1.5,179,175.93,3.52,0.16,0.93,01:00:00
14312291751,100367,2022-01-03 20:00:00-08,202,49.08,1.69,169,156.55,3.19,0.17,0.95,01:00:00
14312292958,100367,2022-01-03 21:00:00-08,196,50.35,1.31,180,151.9,3.02,0.15,0.92,01:00:00
14312294165,100367,2022-01-03 22:00:00-08,135,48.74,0.88,180,104.63,2.15,0.18,0.95,01:00:00
14312295378,100367,2022-01-03 23:00:00-08,94,50.56,0.73,180,72.85,1.44,0.14,0.92,01:00:00
14312296591,100367,2022-01-04 00:00:00-08,61,50.16,0.47,180,47.28,0.94,0.15,0.93,01:00:00
14312297804,100367,2022-01-04 01:00:00-08,51,48.2,0.45,180,39.53,0.82,0.19,0.96,01:00:00
14312299017,100367,2022-01-04 02:00:00-08,37,49.78,0.44,180,28.68,0.58,0.16,0.93,01:00:00
14312300230,100367,2022-01-04 03:00:00-08,44,50.45,0.55,180,34.1,0.68,0.15,0.92,01:00:00
14312301443,100367,2022-01-04 04:00:00-08,75,51.15,0.76,180,58.13,1.14,0.13,0.91,01:00:00
14312302656,100367,2022-01-04 05:00:00-08,114,51.26,1.28,180,88.35,1.72,0.13,0.91,01:00:00
14312303869,100367,2022-01-04 06:00:00-08,163,51.35,1.28,180,126.33,2.46,0.13,0.91,01:00:00
14312305082,100367,2022-01-04 07:00:00-08,249,50.87,2,180,192.98,3.79,0.14,0.91,01:00:00
14312306295,100367,2022-01-04 08:00:00-08,362,50.26,3.09,180,280.55,5.58,0.15,0.93,01:00:00
14312307505,100367,2022-01-04 09:00:00-08,361,50.58,3.09,180,279.78,5.53,0.14,0.92,01:00:00
14312308715,100367,2022-01-04 10:00:00-08,388,51.81,3.17,180,300.7,5.8,0.12,0.9,01:00:00
14312309930,100367,2022-01-04 11:00:00-08,421,51.74,3.32,180,326.28,6.31,0.12,0.9,01:00:00
14312311145,100367,2022-01-04 12:00:00-08,427,50.57,3.65,180,330.93,6.54,0.14,0.92,01:00:00
14312312358,100367,2022-01-04 13:00:00-08,441,50.94,3.5,180,341.78,6.71,0.14,0.91,01:00:00
14312313571,100367,2022-01-04 14:00:00-08,509,50.28,4.21,180,394.48,7.85,0.15,0.92,01:00:00
14312314786,100367,2022-01-04 15:00:00-08,556,49.73,4.57,180,430.9,8.66,0.16,0.94,01:00:00
14312316004,100367,2022-01-04 16:00:00-08,437,49.19,3.21,180,338.68,6.89,0.17,0.95,01:00:00
14312317224,100367,2022-01-04 17:00:00-08,406,48.81,3.07,180,314.65,6.45,0.18,0.95,01:00:00
14312318443,100367,2022-01-04 18:00:00-08,350,50.05,2.26,180,271.25,5.42,0.15,0.93,01:00:00
14312319662,100367,2022-01-04 19:00:00-08,275,50.85,1.61,180,213.13,4.19,0.14,0.91,01:00:00
14312320881,100367,2022-01-04 20:00:00-08,226,49.83,1.39,180,175.15,3.51,0.16,0.93,01:00:00
14312322100,100367,2022-01-04 21:00:00-08,216,49.62,1.69,180,167.4,3.37,0.16,0.94,01:00:00
14312323319,100367,2022-01-04 22:00:00-08,126,50.31,0.89,171,97.65,1.94,0.15,0.92,01:00:00
14312324538,100367,2022-01-04 23:00:00-08,80,50.89,0.59,175,62,1.22,0.14,0.91,01:00:00
14312325757,100367,2022-01-05 00:00:00-08,59,48.85,0.49,180,45.73,0.94,0.18,0.95,01:00:00
14312326976,100367,2022-01-05 01:00:00-08,53,48.21,0.71,177,41.08,0.85,0.19,0.96,01:00:00
14312328195,100367,2022-01-05 02:00:00-08,47,47.53,0.47,180,36.43,0.77,0.2,0.98,01:00:00
14312329415,100367,2022-01-05 03:00:00-08,45,47.62,0.59,178,34.88,0.73,0.2,0.98,01:00:00
14312330635,100367,2022-01-05 04:00:00-08,74,49.39,0.92,180,57.35,1.16,0.17,0.94,01:00:00
14312331855,100367,2022-01-05 05:00:00-08,105,48.68,0.86,180,81.38,1.67,0.18,0.96,01:00:00
14312333075,100367,2022-01-05 06:00:00-08,177,50.65,1.7,180,137.18,2.71,0.14,0.92,01:00:00
14312334295,100367,2022-01-05 07:00:00-08,300,50.1,2.48,180,232.5,4.64,0.15,0.93,01:00:00
14312335515,100367,2022-01-05 08:00:00-08,419,50.03,3.74,180,324.73,6.49,0.15,0.93,01:00:00
14312336735,100367,2022-01-05 09:00:00-08,383,50.84,3.15,180,296.83,5.84,0.14,0.91,01:00:00
14312337955,100367,2022-01-05 10:00:00-08,375,49.95,3.42,180,290.63,5.82,0.16,0.93,01:00:00
14312339175,100367,2022-01-05 11:00:00-08,441,49.25,3.89,180,341.78,6.94,0.17,0.94,01:00:00
14312340395,100367,2022-01-05 12:00:00-08,454,49.79,3.75,180,351.85,7.07,0.16,0.93,01:00:00
14312341615,100367,2022-01-05 13:00:00-08,470,48.84,4.1,180,364.25,7.46,0.18,0.95,01:00:00
14312342835,100367,2022-01-05 14:00:00-08,498,49.6,4.01,180,385.95,7.78,0.16,0.94,01:00:00
14312344055,100367,2022-01-05 15:00:00-08,564,48.4,4.56,180,437.1,9.03,0.19,0.96,01:00:00
14312345275,100367,2022-01-05 16:00:00-08,470,48.83,3.7,180,364.25,7.46,0.18,0.95,01:00:00
14312346495,100367,2022-01-05 17:00:00-08,388,47.95,2.97,180,300.7,6.27,0.19,0.97,01:00:00
14312347715,100367,2022-01-05 18:00:00-08,353,49.64,2.37,180,273.58,5.51,0.16,0.94,01:00:00
14312348935,100367,2022-01-05 19:00:00-08,281,49.7,1.87,180,217.78,4.38,0.16,0.94,01:00:00
14312350144,100367,2022-01-05 20:00:00-08,254,48.99,1.81,180,196.85,4.02,0.17,0.95,01:00:00
14312351353,100367,2022-01-05 21:00:00-08,202,51.28,1.5,180,156.55,3.05,0.13,0.91,01:00:00
14312352562,100367,2022-01-05 22:00:00-08,176,50.58,1.27,180,136.4,2.7,0.14,0.92,01:00:00
14312353771,100367,2022-01-05 23:00:00-08,95,50.7,0.79,180,73.63,1.45,0.14,0.92,01:00:00
14312354978,100367,2022-01-06 00:00:00-08,77,49.54,0.52,180,59.68,1.2,0.16,0.94,01:00:00
14312356185,100367,2022-01-06 01:00:00-08,59,51.71,0.54,180,45.73,0.88,0.12,0.9,01:00:00
14312357392,100367,2022-01-06 02:00:00-08,54,48.31,0.51,180,41.85,0.87,0.19,0.96,01:00:00
14312358599,100367,2022-01-06 03:00:00-08,49,48.43,0.69,180,37.98,0.78,0.19,0.96,01:00:00
14312359806,100367,2022-01-06 04:00:00-08,77,50.38,0.98,180,59.68,1.18,0.15,0.92,01:00:00
14312361013,100367,2022-01-06 05:00:00-08,103,49.91,0.84,180,79.83,1.6,0.16,0.93,01:00:00
14312362220,100367,2022-01-06 06:00:00-08,171,48.4,1.66,180,132.53,2.74,0.19,0.96,01:00:00
14312363427,100367,2022-01-06 07:00:00-08,241,49.48,1.86,180,186.78,3.77,0.16,0.94,01:00:00
14312364634,100367,2022-01-06 08:00:00-08,346,48.52,2.91,180,268.15,5.53,0.18,0.96,01:00:00
14312365841,100367,2022-01-06 09:00:00-08,322,49.9,2.63,180,249.55,5,0.16,0.93,01:00:00
14312367048,100367,2022-01-06 10:00:00-08,393,50.73,3.14,180,304.58,6,0.14,0.92,01:00:00
14312368255,100367,2022-01-06 11:00:00-08,433,50.3,3.62,180,335.58,6.67,0.15,0.92,01:00:00
14312369462,100367,2022-01-06 12:00:00-08,431,50.86,3.63,180,334.03,6.57,0.14,0.91,01:00:00
14312370680,100367,2022-01-06 13:00:00-08,467,50.46,3.89,180,361.93,7.17,0.15,0.92,01:00:00
14312371898,100367,2022-01-06 14:00:00-08,524,50.63,3.96,180,406.1,8.02,0.14,0.92,01:00:00
14312373116,100367,2022-01-06 15:00:00-08,548,49.57,4.24,180,424.7,8.57,0.16,0.94,01:00:00
